ascension keystone secundus  28447;
rune platebody (h4)  19242;
rune platebody (h5)  19263;
rune platebody (t)  2623;
rune berserker shield 0  12934;
rune boots  4131;
rune chainbody  1113;
rune full helm  1163;
rune full helm (g)  2619;
rune full helm (t)  2627;
rune gauntlets  13003;
rune helm  1147;
rune helm (h1)  10286;
rune helm (h2)  10288;
rune helm (h3)  10290;
rune helm (h4)  10292;
reefwalker's cape  30568;
rock-shell armour set  11942;
rock-shell boots  6145;
rock-shell gloves  6151;
rock-shell helm  6128;
rock-shell legs  6130;
rock-shell plate  6129;
ruined dragon armour lump  14472;
ruined dragon armour shard  14476;
ruined dragon armour slice  14474;
rune armour set (lg)  11838;
rune armour set (sk)  11840;
saradomin full helm  2665;
saradomin kiteshield  2667;
saradomin platebody  2661;
saradomin platelegs  2663;
saradomin plateskirt  3479;
shield left half  2366;
shield right half  2368;
spirit shield  13734;
third-age full helmet  10350;
third-age kiteshield  10352;
third-age platebody  10348;
third-age platelegs  10346;
toktz-ket-xil  6524;
torva armour set  30901;
virtus armour set  30903;
warrior helm  3753;
zamorak full helm  2657;
zamorak kiteshield  2659;
zamorak platebody  2653;
zamorak platelegs  2655;
zamorak plateskirt  3478;
ancient ceremonial boots  20133;
ancient ceremonial gloves  20131;
ancient ceremonial legs  20129;
ancient ceremonial mask  20125;
ancient ceremonial top  20127;
arcane sigil  13746;
arcane spirit shield  13738;
bandos boots  11728;
bandos chestplate  11724;
bandos gloves  25025;
bandos helmet  25022;
bandos tassets  11726;
bandos warshield  25019;
barrows - dharok's set  11848;
barrows - guthan's set  11850;
barrows - torag's set  11854;
barrows - verac's set  11856;
blessed spirit shield  13736;
crystal boots  35412;
crystal gloves  35416;
dragonfire shield  11284;
dragonfire ward  25559;
death lotus chaps  26348;
death lotus chestplate  26347;
death lotus hood  26346;
dharok's helm  4716;
dharok's helm (broken)  4884;
dharok's platebody  4720;
dharok's platebody (broken)  35585;
dharok's platelegs  4722;
dharok's platelegs (broken)  4902;
divine sigil  13748;
divine spirit shield  13740;
dragonfire deflector  25562;
elysian sigil  13750;
elysian spirit shield  13742;
emberkeen boots  34978;
guthan's chainskirt  4730;
guthan's chainskirt (broken)  4926;
guthan's helm  4724;
guthan's helm (broken)  4908;
guthan's platebody  4728;
guthan's platebody (broken)  4920;
malevolent cuirass  30008;
malevolent greaves  30011;
malevolent helm  30005;
malevolent kiteshield  30014;
pneumatic gloves  27487;
razorback gauntlets  30213;
seasinger's hood  26337;
seasinger's robe bottom  26339;
seasinger's robe top  26338;
spectral sigil  13752;
spectral spirit shield  13744;
statius's full helm  13896;
statius's platebody  13884;
statius's platelegs  13890;
steadfast scale  34972;
torva platebody  20139;
torva platelegs  20143;
tetsu body  26326;
tetsu helm  26325;
tetsu platelegs  26327;
torag's helm  4745;
torag's helm (broken)  4956;
torag's platebody  4749;
torag's platebody (broken)  4968;
torag's platelegs  4751;
torag's platelegs (broken)  4974;
torva boots  25064;
torva full helm  20135;
torva gloves  25060;
verac's brassard  4757;
verac's brassard (broken)  4992;
verac's helm  4753;
verac's helm (broken)  4980;
verac's plateskirt  4759;
verac's plateskirt (broken)  4998;
vesta's chainbody  13887;
vesta's plateskirt  13893;
adamant warhammer  1345;
ancient mace  11061;
adamant 2h sword  1317;
adamant battleaxe  1371;
adamant cane  13097;
adamant claw  3100;
adamant dagger  1211;
adamant halberd  3200;
adamant hasta  11375;
adamant longsword  1301;
adamant mace  1430;
adamant scimitar  1331;
adamant spear  1245;
adamant sword  1287;
bronze spear  1237;
bronze sword  1277;
bronze warhammer  1337;
bone club  5018;
bone dagger  8872;
bone spear  5016;
bronze 2h sword  1307;
bronze battleaxe  1375;
bronze claw  3095;
bronze dagger  1205;
bronze halberd  3190;
bronze hasta  11367;
bronze longsword  1291;
bronze mace  1422;
bronze scimitar  1321;
black 2h sword  1313;
black battleaxe  1367;
black cane  13095;
black claw  3098;
black dagger  1217;
black halberd  3196;
black longsword  1297;
black mace  1426;
black scimitar  1327;
black spear  4580;
black sword  1283;
black warhammer  1341;
corrupt statius's warhammer  13926;
corrupt vesta's longsword  13923;
corrupt vesta's spear  13929;
egg whisk  7435;
frying pan  7441;
gadderhammer  7668;
guthix mjolnir  6760;
iron 2h sword  1309;
iron battleaxe  1363;
iron claw  3096;
iron dagger  1203;
iron halberd  3192;
iron hasta  11369;
iron longsword  1293;
iron mace  1420;
iron scimitar  1323;
iron spear  1239;
iron sword  1279;
iron warhammer  1335;
mithril spear  1243;
mithril sword  1285;
mithril warhammer  1343;
maple blackjack  6416;
maple blackjack (d)  6420;
maple blackjack (o)  6418;
mithril 2h sword  1315;
mithril battleaxe  1369;
mithril claw  3099;
mithril dagger  1209;
mithril halberd  3198;
mithril hasta  11373;
mithril longsword  1299;
mithril mace  1428;
mithril scimitar  1329;
off-hand steel sword  25714;
off-hand steel warhammer  25783;
off-hand white claw  25948;
ogre club  12570;
off-hand mithril dagger  25700;
off-hand mithril longsword  25733;
off-hand mithril mace  25682;
off-hand mithril scimitar  25751;
off-hand mithril sword  25718;
off-hand mithril warhammer  25787;
off-hand steel battleaxe  25765;
off-hand steel claw  25937;
off-hand steel dagger  25696;
off-hand steel longsword  25729;
off-hand steel mace  25678;
off-hand steel scimitar  25747;
off-hand bronze sword  25710;
off-hand bronze warhammer  25779;
off-hand iron battleaxe  25763;
off-hand iron claw  25935;
off-hand iron dagger  25694;
off-hand iron longsword  25727;
off-hand iron mace  25676;
off-hand iron scimitar  25745;
off-hand iron sword  25712;
off-hand iron warhammer  25781;
off-hand mithril battleaxe  25769;
off-hand mithril claw  25941;
off-hand black dagger  25698;
off-hand black longsword  25731;
off-hand black mace  25680;
off-hand black scimitar  25749;
off-hand black sword  25716;
off-hand black warhammer  25785;
off-hand bronze battleaxe  25761;
off-hand bronze claw  25933;
off-hand bronze dagger  25692;
off-hand bronze longsword  25725;
off-hand bronze mace  25674;
off-hand bronze scimitar  25743;
oak blackjack (d)  6410;
oak blackjack (o)  6408;
off-hand adamant battleaxe  25771;
off-hand adamant claw  25943;
off-hand adamant dagger  25702;
off-hand adamant longsword  25735;
off-hand adamant mace  25684;
off-hand adamant scimitar  25753;
off-hand adamant sword  25720;
off-hand adamant warhammer  25789;
off-hand black battleaxe  25767;
off-hand black claw  25939;
pirate's hook  2997;
steel mace  1424;
steel scimitar  1325;
steel spear  1241;
steel sword  1281;
steel warhammer  1339;
superior ancient mace  32090;
saradomin mjolnir  6762;
silver sickle  2961;
skewer  7443;
spatula  7439;
spork  7437;
steel 2h sword  1311;
steel battleaxe  1365;
steel claw  3097;
steel dagger  1207;
steel halberd  3194;
steel hasta  11371;
steel longsword  1295;
willow-blackjack  4600;
wooden spoon  7433;
white 2h sword  6609;
white battleaxe  6589;
white claw  6587;
white dagger  6591;
white halberd  6599;
white longsword  6607;
white mace  6601;
white scimitar  6611;
white sword  6605;
white warhammer  6613;
willow blackjack (d)  6414;
willow blackjack (o)  6412;
zamorak mjolnir  6764;
brackish blade  20671;
brine sabre  11037;
cleaver  7451;
corrupt dragon battleaxe  13973;
corrupt dragon dagger  13976;
corrupt dragon longsword  13982;
corrupt dragon mace  13985;
corrupt dragon scimitar  13979;
corrupt dragon spear  13988;
crystal dagger  32222;
crystal halberd  32219;
dragon 2h sword  7158;
dragon battleaxe  1377;
dragon claw  14484;
dragon dagger  1215;
dragon halberd  3204;
dragon hasta  31377;
dragon longsword  1305;
dragon mace  1434;
dragon scimitar  4587;
dragon spear  1249;
dragon warhammer  29534;
granite mace  14679;
granite maul  4153;
gud raider axe  34828;
kitchen knife  7447;
leaf-bladed sword  13290;
meat tenderiser  7449;
off-hand rune dagger  25704;
off-hand rune longsword  25737;
off-hand rune mace  25686;
off-hand rune scimitar  25755;
off-hand rune sword  25722;
off-hand rune warhammer  25791;
off-hand crystal dagger  32225;
off-hand dragon battleaxe  25776;
off-hand dragon claw  25555;
off-hand dragon dagger  25707;
off-hand dragon longsword  25740;
off-hand dragon mace  25689;
off-hand dragon scimitar  25758;
off-hand dragon warhammer  29537;
off-hand leaf-bladed sword  25564;
off-hand ripper claw  36008;
off-hand rune battleaxe  25773;
off-hand rune claw  25945;
rune spear  1247;
rune sword  1289;
rune warhammer  1347;
ripper claw  36004;
rolling pin  7445;
rune 2h sword  1319;
rune battleaxe  1373;
rune cane  13099;
rune claw  3101;
rune dagger  1213;
rune halberd  3202;
rune hasta  11377;
rune longsword  1303;
rune mace  1432;
rune scimitar  1333;
toktz-xil-ak  6523;
toktz-xil-ek  6525;
tzhaar-ket-em  6527;
tzhaar-ket-om  6528;
abyssal whip  4151;
armadyl godsword  11694;
armadyl hilt  11702;
bandos godsword  11696;
bandos hilt  11704;
dharok's greataxe  4718;
dharok's greataxe (broken)  35583;
drygore longsword  26587;
drygore mace  26595;
drygore rapier  26579;
godsword blade  11690;
godsword shard 1  11710;
godsword shard 2  11712;
godsword shard 3  11714;
godsword shards  11688;
godsword shards  11686;
godsword shards  11692;
guthan's warspear  4726;
guthan's warspear (broken)  4914;
noxious scythe  31725;
off-hand drygore longsword  26591;
off-hand drygore mace  26599;
off-hand drygore rapier  26583;
saradomin godsword  11698;
saradomin hilt  11706;
saradomin sword  11730;
statius's warhammer  13902;
torag's hammer  4747;
torag's hammer (broken)  4962;
verac's flail  4755;
verac's flail (broken)  4986;
vesta's longsword  13899;
vesta's spear  13905;
whip vine  21369;
wyrm heart  34153;
wyrm scalp  34156;
wyrm spike  34151;
zamorak godsword  11700;
zamorak hilt  11708;
zamorakian spear  11716;
adamant bar  2361;
adamantite ore  449;
bronze bar  2349;
clay  434;
coal  453;
copper ore  436;
draconic visage  11286;
gold bar  2357;
gold ore  444;
granite (2kg)  6981;
granite (500g)  6979;
granite (5kg)  6983;
iron bar  2351;
iron ore  440;
limestone  3211;
limestone brick  3420;
malevolent energy  30027;
mithril bar  2359;
mithril ore  447;
reinforcing plate  30028;
rune bar  2363;
runite ore  451;
sandstone (10kg)  6977;
sandstone (1kg)  6971;
sandstone (2kg)  6973;
sandstone (5kg)  6975;
silver bar  2355;
silver ore  442;
steel bar  2353;
tin ore  438;
argway potion (unf)  20000;
attack flask (6)  23195;
attack mix (1)  11431;
attack mix (2)  11429;
attack potion (1)  125;
attack potion (2)  123;
attack potion (3)  121;
attack potion (4)  2428;
antipoison mix (1)  11435;
antipoison mix (2)  11433;
antipoison+ (1)  5949;
antipoison+ (2)  5947;
antipoison+ (3)  5945;
antipoison+ (4)  5943;
antipoison+ flask (6)  23579;
antipoison++ (1)  5958;
antipoison++ (2)  5956;
antipoison++ (3)  5954;
antipoison++ (4)  5952;
antipoison++ flask (6)  23591;
antifire (1)  2458;
antifire (2)  2456;
antifire (3)  2454;
antifire (4)  2452;
antifire flask (6)  23363;
antifire mix (1)  11507;
antifire mix (2)  11505;
antipoison (1)  179;
antipoison (2)  177;
antipoison (3)  175;
antipoison (4)  2446;
antipoison flask (6)  23315;
acne potion  195;
agility flask (6)  23411;
agility mix (1)  11463;
agility mix (2)  11461;
agility potion (1)  3038;
agility potion (2)  3036;
agility potion (3)  3034;
agility potion (4)  3032;
anti-p supermix (1)  11475;
anti-p supermix (2)  11473;
antidote+ mix (1)  11503;
antidote+ mix (2)  11501;
crafting potion (1)  14844;
crafting potion (2)  14842;
crafting potion (3)  14840;
crafting potion (4)  14838;
combat flask (6)  23447;
combat mix (1)  11447;
combat mix (2)  11445;
combat potion (1)  9745;
combat potion (2)  9743;
combat potion (3)  9741;
combat potion (4)  9739;
compost potion (1)  6476;
compost potion (2)  6474;
compost potion (3)  6472;
compost potion (4)  6470;
crafting flask (6)  23459;
defence flask (6)  23231;
defence mix (1)  11459;
defence mix (2)  11457;
defence potion (1)  137;
defence potion (2)  135;
defence potion (3)  133;
defence potion (4)  2432;
energy flask (6)  23375;
energy mix (1)  11455;
energy mix (2)  11453;
energy potion (1)  3014;
energy potion (2)  3012;
energy potion (3)  3010;
energy potion (4)  3008;
erzille potion (unf)  19998;
fishing flask (6)  23267;
fishing mix (1)  11479;
fishing mix (2)  11477;
fishing potion (1)  155;
fishing potion (2)  153;
fishing potion (3)  151;
fishing potion (4)  2438;
fletching flask (6)  23471;
fletching potion (1)  14852;
fletching potion (2)  14850;
fletching potion (3)  14848;
fletching potion (4)  14846;
guthix's gift flask (6)  23179;
guthix rest (3)  4419;
guthix rest (4)  4417;
guthix rest flask (1)  29458;
guthix rest flask (2)  29456;
guthix rest flask (3)  29454;
guthix rest flask (4)  29452;
guthix rest flask (5)  29450;
guthix rest flask (6)  29448;
guthix's gift (1)  20038;
guthix's gift (2)  20037;
guthix's gift (3)  20036;
guthix's gift (4)  20035;
grand attack potion (6)  32994;
grand defence potion (6)  33006;
grand magic potion (6)  32982;
grand ranging potion (6)  32970;
grand strength potion (6)  32958;
guthix balance (1)  7666;
guthix balance (2)  7664;
guthix balance (3)  7662;
guthix balance (4)  7660;
guthix balance flask (6)  23555;
guthix rest (1)  4423;
guthix rest (2)  4421;
holy elixir  13754;
hunter flask (6)  23435;
hunter potion (1)  10004;
hunter potion (2)  10002;
hunter potion (3)  10000;
hunter potion (4)  9998;
hunting mix (1)  11519;
hunting mix (2)  11517;
juju mining potion (4)  20003;
juju woodcutting flask (6)  23149;
juju woodcutting potion (1)  20018;
juju woodcutting potion (2)  20017;
juju woodcutting potion (3)  20016;
juju woodcutting potion (4)  20015;
juju fishing potion (2)  20021;
juju fishing potion (3)  20020;
juju fishing potion (4)  20019;
juju hunter flask (6)  23161;
juju hunter potion (1)  20026;
juju hunter potion (2)  20025;
juju hunter potion (3)  20024;
juju hunter potion (4)  20023;
juju mining flask (6)  23131;
juju mining potion (1)  20006;
juju mining potion (2)  20005;
juju mining potion (3)  20004;
juju cooking flask (6)  23137;
juju cooking potion (1)  20010;
juju cooking potion (2)  20009;
juju cooking potion (3)  20008;
juju cooking potion (4)  20007;
juju farming flask (6)  23143;
juju farming potion (1)  20014;
juju farming potion (2)  20013;
juju farming potion (3)  20012;
juju farming potion (4)  20011;
juju fishing flask (6)  23155;
juju fishing potion (1)  20022;
magic essence mix (1)  11491;
magic essence mix (2)  11489;
magic flask (6)  27532;
magic mix (1)  27502;
magic mix (2)  27500;
magic potion (1)  27518;
magic potion (2)  27516;
magic potion (3)  27514;
magic potion (4)  27512;
numbing root  30778;
prayer mix (1)  11467;
prayer mix (2)  11465;
prayer potion (1)  143;
prayer potion (2)  141;
prayer potion (3)  139;
prayer potion (4)  2434;
prayer renewal (1)  21636;
prayer renewal (2)  21634;
prayer renewal (3)  21632;
prayer renewal (4)  21630;
prayer renewal flask (6)  23609;
perfect juju smithing potion (1)  32777;
perfect juju smithing potion (2)  32779;
perfect juju smithing potion (3)  32781;
perfect juju smithing potion (4)  32783;
perfect juju woodcutting flask (6)  32859;
perfect juju woodcutting potion (1)  32753;
perfect juju woodcutting potion (2)  32755;
perfect juju woodcutting potion (3)  32757;
perfect juju woodcutting potion (4)  32759;
plant cure  6036;
poison chalice  197;
prayer flask (6)  23243;
perfect juju herblore potion (4)  32807;
perfect juju mining flask (6)  32883;
perfect juju mining potion (1)  32769;
perfect juju mining potion (2)  32771;
perfect juju mining potion (3)  32773;
perfect juju mining potion (4)  32775;
perfect juju prayer flask (6)  32919;
perfect juju prayer potion (1)  32793;
perfect juju prayer potion (2)  32795;
perfect juju prayer potion (3)  32797;
perfect juju prayer potion (4)  32799;
perfect juju smithing flask (6)  32895;
perfect juju farming potion (2)  32763;
perfect juju farming potion (3)  32765;
perfect juju farming potion (4)  32767;
perfect juju fishing flask (6)  35754;
perfect juju fishing potion (1)  35735;
perfect juju fishing potion (2)  35737;
perfect juju fishing potion (3)  35739;
perfect juju fishing potion (4)  35741;
perfect juju herblore flask (6)  32931;
perfect juju herblore potion (1)  32801;
perfect juju herblore potion (2)  32803;
perfect juju herblore potion (3)  32805;
perfect juju agility flask (6)  32907;
perfect juju agility potion (1)  32785;
perfect juju agility potion (2)  32787;
perfect juju agility potion (3)  32789;
perfect juju agility potion (4)  32791;
perfect juju dungeoneering flask (6)  32943;
perfect juju dungeoneering potion (1)  32809;
perfect juju dungeoneering potion (2)  32811;
perfect juju dungeoneering potion (3)  32813;
perfect juju dungeoneering potion (4)  32815;
perfect juju farming flask (6)  32871;
perfect juju farming potion (1)  32761;
relicym's mix (1)  11439;
relicym's mix (2)  11437;
restore flask (6)  23219;
restore mix (1)  11451;
restore mix (2)  11449;
restore potion (1)  131;
restore potion (2)  129;
restore potion (3)  127;
restore potion (4)  2430;
ranging flask (6)  27520;
ranging mix (1)  27498;
ranging mix (2)  27496;
ranging potion (1)  27510;
ranging potion (2)  27508;
ranging potion (3)  27506;
ranging potion (4)  27504;
relicym's balm (1)  4848;
relicym's balm (2)  4846;
relicym's balm (3)  4844;
relicym's balm (4)  4842;
relicym's balm flask (6)  23537;
super strength (4)  2440;
super strength flask (6)  23279;
super strength mix (1)  11487;
super strength mix (2)  11485;
super warmaster's potion (6)  33030;
super zamorak brew (1)  28205;
super zamorak brew (2)  28203;
super zamorak brew (3)  28201;
super zamorak brew (4)  28199;
super zamorak brew flask (6)  28215;
super restore (4)  3024;
super restore flask (6)  23399;
super restore mix (1)  11495;
super restore mix (2)  11493;
super saradomin brew (1)  28197;
super saradomin brew (2)  28195;
super saradomin brew (3)  28193;
super saradomin brew (4)  28191;
super saradomin brew flask (6)  28227;
super strength (1)  161;
super strength (2)  159;
super strength (3)  157;
super melee potion (6)  33018;
super prayer renewal potion (6)  33186;
super ranging flask (6)  23303;
super ranging mix (1)  11511;
super ranging mix (2)  11509;
super ranging potion (1)  173;
super ranging potion (2)  171;
super ranging potion (3)  169;
super ranging potion (4)  2444;
super restore (1)  3030;
super restore (2)  3028;
super restore (3)  3026;
super guthix brew flask (6)  28239;
super guthix rest (1)  28213;
super guthix rest (2)  28211;
super guthix rest (3)  28209;
super guthix rest (4)  28207;
super magic flask (6)  23423;
super magic mix (1)  11515;
super magic mix (2)  11513;
super magic potion (1)  3046;
super magic potion (2)  3044;
super magic potion (3)  3042;
super magic potion (4)  3040;
super defence (3)  163;
super defence (4)  2442;
super defence flask (6)  23291;
super defence mix (1)  11499;
super defence mix (2)  11497;
super energy (1)  3022;
super energy (2)  3020;
super energy (3)  3018;
super energy (4)  3016;
super energy flask (6)  23387;
super energy mix (1)  11483;
super energy mix (2)  11481;
super antipoison (3)  181;
super antipoison (4)  2448;
super antipoison flask (6)  23327;
super attack (1)  149;
super attack (2)  147;
super attack (3)  145;
super attack (4)  2436;
super attack flask (6)  23255;
super attack mix (1)  11471;
super attack mix (2)  11469;
super defence (1)  167;
super defence (2)  165;
strength mix (2)  11443;
strength potion (1)  119;
strength potion (2)  117;
strength potion (3)  115;
strength potion (4)  113;
summoning flask (6)  23621;
summoning potion (1)  12146;
summoning potion (2)  12144;
summoning potion (3)  12142;
summoning potion (4)  12140;
super antipoison (1)  185;
super antipoison (2)  183;
saradomin's blessing (2)  20033;
saradomin's blessing (3)  20032;
saradomin's blessing (4)  20031;
saradomin's blessing flask (6)  23173;
scentless flask (6)  23167;
scentless potion (1)  20030;
scentless potion (2)  20029;
scentless potion (3)  20028;
scentless potion (4)  20027;
shengo potion (unf)  20001;
strength flask (6)  23207;
strength mix (1)  11441;
samaden potion (unf)  20002;
sanfew serum (1)  10931;
sanfew serum (2)  10929;
sanfew serum (3)  10927;
sanfew serum (4)  10925;
sanfew serum flask (6)  23567;
saradomin brew (1)  6691;
saradomin brew (2)  6689;
saradomin brew (3)  6687;
saradomin brew (4)  6685;
saradomin brew flask (6)  23351;
saradomin's blessing (1)  20034;
ugune potion (unf)  19999;
weapon poison++ flask (1)  25543;
weapon poison++ flask (2)  25541;
weapon poison++ flask (3)  25539;
weapon poison++ flask (4)  25537;
weapon poison++ flask (5)  25535;
weapon poison++ flask (6)  25533;
weapon poison+ (3)  25495;
weapon poison+ (4)  25493;
weapon poison+ flask (1)  25531;
weapon poison+ flask (2)  25529;
weapon poison+ flask (3)  25527;
weapon poison+ flask (4)  25525;
weapon poison+ flask (5)  25523;
weapon poison+ flask (6)  25521;
weapon poison++ (1)  25507;
weapon poison++ (2)  25505;
weapon poison++ (3)  25503;
weapon poison++ (4)  25501;
weapon poison (1)  25491;
weapon poison (2)  25489;
weapon poison (3)  25487;
weapon poison (4)  25485;
weapon poison flask (1)  25519;
weapon poison flask (2)  25517;
weapon poison flask (3)  25515;
weapon poison flask (4)  25513;
weapon poison flask (5)  25511;
weapon poison flask (6)  25509;
weapon poison+ (1)  25499;
weapon poison+ (2)  25497;
zamorak brew (1)  193;
zamorak brew (2)  191;
zamorak brew (3)  189;
zamorak brew (4)  2450;
zamorak brew flask (6)  23339;
zamorak mix (1)  11523;
zamorak mix (2)  11521;
zamorak's favour (1)  20042;
zamorak's favour (2)  20041;
zamorak's favour (3)  20040;
zamorak's favour (4)  20039;
zamorak's favour flask (6)  23185;
armadyl mitre  19374;
armadyl page 1  19604;
armadyl page 2  19605;
armadyl page 3  19606;
armadyl page 4  19607;
armadyl robe legs  19386;
armadyl robe top  19380;
armadyl stole  19392;
ancient cloak  19372;
ancient crozier  19366;
ancient mitre  19378;
ancient page 1  19608;
ancient page 2  19609;
ancient page 3  19610;
ancient page 4  19611;
ancient robe legs  19390;
ancient robe top  19382;
ancient stole  19396;
armadyl cloak  19368;
armadyl crozier  19362;
bandos cloak  19370;
bandos crozier  19364;
bandos mitre  19376;
bandos page 1  19600;
bandos page 2  19601;
bandos page 3  19602;
bandos page 4  19603;
bandos robe legs  19388;
bandos robe top  19384;
bandos stole  19394;
dragon rider body  30933;
dragon rider boots  25316;
dragon rider cape  30939;
dragon rider chaps  30936;
dragon rider gloves  25318;
dragon rider helm  30930;
dragon rider kit  30943;
druid's robe  538;
druid's robe  540;
guthix cloak  10448;
guthix mitre  10454;
guthix page 1  3835;
guthix page 2  3836;
guthix page 3  3837;
guthix page 4  3838;
guthix robe legs  10466;
guthix robe top  10462;
guthix stole  10472;
initiate cuisse  5576;
initiate harness f  23125;
initiate harness m  9668;
initiate hauberk  5575;
initiate sallet  5574;
initiate tasset  23122;
monk's robe  542;
monk's robe  544;
priest gown  428;
priest gown  426;
pros'yte harness f  9670;
pros'yte harness m  9666;
proselyte cuisse  9676;
proselyte hauberk  9674;
proselyte sallet  9672;
proselyte tasset  9678;
saradomin cloak  10446;
saradomin mitre  10452;
saradomin page 1  3827;
saradomin page 2  3828;
saradomin page 3  3829;
saradomin page 4  3830;
saradomin robe legs  10464;
saradomin robe top  10458;
saradomin stole  10470;
third-age druidic cloak  19311;
third-age druidic robe  19320;
third-age druidic robe top  19317;
third-age druidic staff  19308;
third-age druidic wreath  19314;
zamorak cloak  10450;
zamorak mitre  10456;
zamorak page 1  3831;
zamorak page 2  3832;
zamorak page 3  3833;
zamorak page 4  3834;
zamorak robe legs  10468;
zamorak robe top  10460;
zamorak stole  10474;
accursed ashes  20266;
adamant dragon bones  35008;
airut bones  30209;
arctic pyre logs  10808;
asyn remains  3402;
baby dragon bones  534;
bat bones  530;
big bones  532;
bones  526;
burnt bones  528;
dagannoth bones  6729;
dragon bones  536;
elder pyre logs  29635;
eucalyptus pyre logs  12583;
fayrg bones  4830;
fiyr remains  3404;
frost dragon bones  18832;
impious ashes  20264;
infernal ashes  20268;
jogre bones  3125;
loar remains  3396;
magic pyre logs  3448;
mahogany pyre logs  6213;
maple pyre logs  3444;
monkey bones  3183;
oak pyre logs  3440;
olive oil (1)  3428;
olive oil (2)  3426;
olive oil (3)  3424;
olive oil (4)  3422;
ourg bones  14793;
ourg bones  4834;
phrin remains  3398;
pyre logs  3438;
raurg bones  4832;
riyl remains  3400;
rune dragon bones  35010;
sacred oil (1)  3436;
sacred oil (2)  3434;
sacred oil (3)  3432;
sacred oil (4)  3430;
searing ashes  34159;
shaikahan bones  3123;
teak pyre logs  6211;
tortured ashes  33260;
tortured soul  32707;
willow pyre logs  3442;
wolf bones  2859;
wyvern bones  6812;
yew pyre logs  3446;
zogre bones  4812;
armadyl gloves  25016;
armadyl helmet  11718;
armadyl vambraces  19459;
arrowstorm drape  23050;
ascension grips  31203;
ancient body  19445;
ancient chaps  19447;
ancient coif  19449;
ancient vambraces  19443;
archer helm  3749;
armadyl body  19461;
armadyl boots  25010;
armadyl buckler  25013;
armadyl chainskirt  11722;
armadyl chaps  19463;
armadyl chestplate  11720;
armadyl coif  19465;
black spiky vambraces  10085;
blue d'hide body  2499;
blue d'hide chaps  2493;
blue d'hide coif  12943;
blue d'hide shield  25796;
blue d'hide vambraces  2487;
blue dragonhide set  11866;
blue spiky vambraces  10081;
bandos body  19453;
bandos chaps  19455;
bandos coif  19457;
bandos vambraces  19451;
barrows - karil's set  11852;
basilisk boots  32368;
black d'hide body  2503;
black d'hide chaps  2497;
black d'hide coif  12957;
black d'hide shield  25800;
black d'hide vambraces  2491;
black dragonhide set  11870;
carapace boots  25863;
carapace gloves  25865;
carapace helm  25857;
carapace legs  25861;
carapace torso  25859;
coif  1169;
corrupt morrigan's coif  13950;
corrupt morrigan's leather body  13944;
corrupt morrigan's leather chaps  13947;
crystal deflector  32243;
dragonhide chaps (t)  7380;
demon slayer boots  27163;
demon slayer circlet  27157;
demon slayer gloves  27165;
demon slayer skirt  27159;
demon slayer torso  27161;
dragonhide body (g)  7374;
dragonhide body (g)  7370;
dragonhide body (t)  7376;
dragonhide body (t)  7372;
dragonhide chaps (g)  7378;
dragonhide chaps (g)  7382;
dragonhide chaps (t)  7384;
flarefrost boots  34981;
focus sight  15490;
frog-leather body  10954;
frog-leather boots  10958;
frog-leather chaps  10956;
guthix vambraces  10376;
glaiven wing-tip  34974;
green d'hide body  1135;
green d'hide chaps  1099;
green d'hide coif  12936;
green d'hide shield  25794;
green d'hide vambraces  1065;
green dragonhide set  11864;
green spiky vambraces  10079;
grifolic shield  25814;
guthix body  10378;
guthix chaps  10380;
guthix coif  10382;
hard leather body  1131;
hard leather boots  25821;
hard leather gloves  25875;
hard leather shield  25808;
karil's coif  4732;
karil's coif (broken)  4932;
karil's skirt  4738;
karil's skirt (broken)  4950;
karil's top  4736;
karil's top (broken)  4944;
kurask boots  32372;
leather body  1129;
leather chaps  1095;
leather cowl  1167;
leather shield  25806;
leather vambraces  1063;
morrigan's coif  13876;
morrigan's leather body  13870;
morrigan's leather chaps  13873;
mystic shield  25812;
pernix body  20151;
pernix boots  25068;
pernix chaps  20155;
pernix cowl  20147;
pernix gloves  25058;
royal d'hide vambraces  24376;
royal dragonhide set  24386;
royal spiky vambraces  25553;
ranger boots  2577;
red d'hide body  2501;
red d'hide chaps  2495;
red d'hide coif  12950;
red d'hide shield  25798;
red d'hide vambraces  2489;
red dragonhide set  11868;
red spiky vambraces  10083;
robin hood hat  2581;
royal d'hide body  24382;
royal d'hide chaps  24379;
royal d'hide coif  24388;
studded chaps (t)  7368;
studded leather boots  25823;
studded leather gloves  25877;
studded leather shield  25810;
spiky vambraces  10077;
spined armour set  11944;
spined body  6133;
spined boots  6143;
spined chaps  6135;
spined gloves  6149;
spined helm  6131;
studded body  1133;
studded body (g)  7362;
studded body (t)  7364;
studded chaps  1097;
studded chaps (g)  7366;
saradomin body  10386;
saradomin chaps  10388;
saradomin coif  10390;
saradomin vambraces  10384;
sirenic chaps  29860;
sirenic hauberk  29857;
sirenic mask  29854;
snakeskin bandana  6326;
snakeskin body  6322;
snakeskin boots  6328;
snakeskin chaps  6324;
snakeskin vambraces  6330;
third-age range coif  10334;
third-age range legs  10332;
third-age range top  10330;
third-age vambraces  10336;
tracking gloves  27484;
turoth boots  32370;
vengeful kiteshield  30018;
yak-hide armour (legs)  10824;
yak-hide armour (top)  10822;
zamorak body  10370;
zamorak chaps  10372;
zamorak coif  10374;
zamorak vambraces  10368;
adamant 2h crossbow  25927;
